country,precision,recall,F1 score,support
Albania,0,0,0,1
Azerbaijan,0,0,0,1
Bangladesh,0,0,0,1
Belgium,0,0,0,2
Bulgaria,0,0,0,2
Cyprus,0.33,0.22,0.27,9
Egypt,0.69,1,0.81,11
France,0,0,0,3
Greece,0.33,0.4,0.36,5
Hungary,0,0,0,1
India,0,0,0,2
Indonesia,1,1,1,3
Ireland,0,0,0,1
Isreal,0.75,1,0.86,3
Italy,0,0,0,2
Kenya,0,0,0,1
Malta,0.5,0.33,0.4,3
Mexico,0,0,0,2
Morocco,0.09,0.33,0.14,3
Pakistan,0.33,1,0.5,1
Poland,0,0,0,4
Portugal,0,0,0,9
Spain,0.2,0.36,0.26,11
Tanzania,0,0,0,1
Tunisia,0,0,0,5
Turkey,0.49,0.89,0.63,37
UAE,0.67,0.67,0.67,3
UK,0.89,0.78,0.83,267
USA,,,,
,,,,
accuracy,,,0.68,395
macro avg,0.2,0.26,0.22,395
weighted avg,0.71,0.68,0.68,395
