country,precision,recall,F1 score,support
Albania,0,0,0,1
Azerbaijan,0,0,0,1
Bangladesh,0,0,0,1
Belgium,0,0,0,2
Bulgaria,0,0,0,2
Cyprus,0.67,0.22,0.33,9
Egypt,1,0.36,0.53,11
France,0,0,0,3
Greece,0,0,0,5
Hungary,0,0,0,1
India,0,0,0,2
Indonesia,1,1,1,3
Ireland,0,0,0,1
Isreal,0,0,0,3
Italy,0,0,0,2
Kenya,0,0,0,1
Malta,0,0,0,3
Mexico,0,0,0,2
Morocco,0,0,0,3
Pakistan,0,0,0,1
Poland,0,0,0,4
Portugal,0,0,0,9
Spain,1,0.18,0.31,11
Tanzania,0,0,0,1
Tunisia,0,0,0,5
Turkey,0.61,0.76,0.67,37
UAE,0.5,0.33,0.4,3
UK,0.76,0.92,0.83,267
USA,0,0,0,1
,,,,
accuracy,,,0.72,395
macro avg,0.19,0.13,0.14,395
weighted avg,0.65,0.72,0.67,395
