country,precision,recall,F1 score,support
Albania,0,0,0,1
Azerbaijan,0,0,0,1
Bangladesh,0,0,0,1
Belgium,0,0,0,2
Bulgaria,0,0,0,2
Cyprus,0.5,0.33,0.4,9
Egypt,0.85,1,0.92,11
France,0,0,0,3
Greece,0.33,0.4,0.36,5
Hungary,0,0,0,1
India,0.33,0.5,0.4,2
Indonesia,1,1,1,3
Ireland,0,0,0,1
Isreal,0.75,1,0.86,3
Italy,0,0,0,2
Kenya,0,0,0,1
Malta,1,0.67,0.8,3
Mexico,0,0,0,2
Morocco,0,0,0,3
Pakistan,0,0,0,1
Poland,0,0,0,4
Portugal,0,0,0,9
Spain,0.2,0.36,0.26,11
Tanzania,0.5,1,0.67,1
Tunisia,0,0,0,5
Turkey,0.46,0.89,0.61,37
UAE,0.75,1,0.86,3
UK,0.89,0.78,0.83,267
USA,0,0,0,1
,,,,
accuracy,,,0.69,395
macro avg,0.24,0.28,0.25,395
weighted avg,0.72,0.69,0.69,395
